outer_fold,inner_fold,analysis_variant,information_protocol,approximation,rho_prior,hu_tau,model,alpha,training_block_hash,grammar_fit_hash,validation_scoreable_roots,pooled_root_balanced_mean_log_density,selected_alpha
0,1,all_strict,side_informed,laplace,uniform,20.0,HU_plus_surface,0.0,27a3bb4a6140f901a59aa471a99c58258a97e252dc1e140d0e5312309b75b41b,4ee208cf3b2b27549369856c919278265a2722843326bdbdfa9e58ddd7e620d8,136,-0.3164774797454646,0.01
0,1,all_strict,side_informed,laplace,uniform,20.0,HU_plus_surface,0.0001,27a3bb4a6140f901a59aa471a99c58258a97e252dc1e140d0e5312309b75b41b,c33c990bdea9f10f6173e696bfc5ae894116f886c972f7c0a5a16f2eba995047,136,-0.3153280025157531,0.01
0,1,all_strict,side_informed,laplace,uniform,20.0,HU_plus_surface,0.001,27a3bb4a6140f901a59aa471a99c58258a97e252dc1e140d0e5312309b75b41b,d0e48a32a29cb8783842f71d079f07f36eee617cf2c6e1fb732056ecefe570ef,136,-0.3077869627049429,0.01
0,1,all_strict,side_informed,laplace,uniform,20.0,HU_plus_surface,0.01,27a3bb4a6140f901a59aa471a99c58258a97e252dc1e140d0e5312309b75b41b,ecfb744e83cff7375d3231a8f0eee375a488febe8883dae4081e4798e016f5b3,136,-0.2930017610694456,0.01
0,1,all_strict,side_informed,laplace,uniform,20.0,HU_plus_surface,0.1,27a3bb4a6140f901a59aa471a99c58258a97e252dc1e140d0e5312309b75b41b,7c09b0334602cfaa37c015fde76e2c4be95ecb95a820672e53fa883b1180bba3,136,-0.3574220597773089,0.01
0,2,all_strict,side_informed,laplace,uniform,20.0,HU_plus_surface,0.0,c3a17ae49362d3af3c889169dd61b790e7c0ea833118c8eb2e1b2cc8668b3073,7a96cb538245ecaff4c9d4f901807ab6feef6d904e68789e45300e54e1eaa68a,138,-0.3164774797454646,0.01
0,2,all_strict,side_informed,laplace,uniform,20.0,HU_plus_surface,0.0001,c3a17ae49362d3af3c889169dd61b790e7c0ea833118c8eb2e1b2cc8668b3073,7c4965ec21eca59c1f0dff71f07721cb87676bda27272de5adbf9f87cbaa0cb2,138,-0.3153280025157531,0.01
0,2,all_strict,side_informed,laplace,uniform,20.0,HU_plus_surface,0.001,c3a17ae49362d3af3c889169dd61b790e7c0ea833118c8eb2e1b2cc8668b3073,74c0c77c013fa8fdb08a7dd018b3c01afb65feb743c614efbc9eff7f39ab8b2d,138,-0.3077869627049429,0.01
0,2,all_strict,side_informed,laplace,uniform,20.0,HU_plus_surface,0.01,c3a17ae49362d3af3c889169dd61b790e7c0ea833118c8eb2e1b2cc8668b3073,f5d806018512c864c6e1a7e7b4c79702cc86c953a1bf51239f13a7fbbd6f7b70,138,-0.2930017610694456,0.01
0,2,all_strict,side_informed,laplace,uniform,20.0,HU_plus_surface,0.1,c3a17ae49362d3af3c889169dd61b790e7c0ea833118c8eb2e1b2cc8668b3073,cb7eb272db8ad8f47a9e1071e70bccb0703d2ab1d7aa852d75f2fd1ce679b91c,138,-0.3574220597773089,0.01
0,0,all_strict,side_informed,laplace,uniform,20.0,retention_bounded_plus_HU,0.0,ff71152f04ff3c17c4f535bdcd272443a47086eca1b6c90e413744cda8c3d050,41098a53da3eb83f8e63e8a5772b3da154fc5877719fb2902b49f512169aed0d,139,-0.3180008166699528,0.01
0,0,all_strict,side_informed,laplace,uniform,20.0,retention_bounded_plus_HU,0.0001,ff71152f04ff3c17c4f535bdcd272443a47086eca1b6c90e413744cda8c3d050,1f178d638be9983b96f7bb9e86f1241ef4d7428bbe591049a49cb05f59c28e75,139,-0.3172095389505577,0.01
0,0,all_strict,side_informed,laplace,uniform,20.0,retention_bounded_plus_HU,0.001,ff71152f04ff3c17c4f535bdcd272443a47086eca1b6c90e413744cda8c3d050,0e6c9fc083c2edb19851799526df9a7b204791ad0e55eb0ab8189553fef8faf3,139,-0.31362875493018316,0.01
0,0,all_strict,side_informed,laplace,uniform,20.0,retention_bounded_plus_HU,0.01,ff71152f04ff3c17c4f535bdcd272443a47086eca1b6c90e413744cda8c3d050,c1986af5d4867e65eb66c9d0415f2472bb4ed09cf0df4dfa5e97aeaa368297e7,139,-0.2989410584864997,0.01
